exercise_name;musculo;image_id_selected;notes
Curl bíceps martillo;Bíceps;Curl_de_martillo_con_mancuernas_03121101;
Press banca;Pectoral;Press_de_banca_ancho_con_barra_01221101;
Peso muerto rumano;Femoral;Peso_muerto_rumano_con_barra_22131101;
Bicicleta elíptica;Aeróbico;Carrera_en_bicicleta_estacionaria_22641101;
Press banca inclinado;Pectoral;Press_de_banca_inclinado_con_barra_00471101;
Press inclinado mancuernas;Pectoral;Press_de_banca_inclinado_con_agarre_inverso_a_30_grados_12141101;
Extensión hombros polea;Hombros;Press_de_hombros_sentado_con_palanca_14541101;
Tríceps Katana;Tríceps;Extensión_de_tríceps_aérea_con_cable_01941101;
Extensión tríceps cable;Tríceps;Extensión_alternativa_de_tríceps_con_cable_30391101;
Extensión tríceps mancuerna;Tríceps;Extensión_de_tríceps_de_pie_con_mancuernas_04301101;
Extensión tríceps polea;Tríceps;Flexión_de_tríceps_con_cable_43551101;
Triceps sentado;Tríceps;Extensión_de_tríceps_a_un_brazo_con_mancuernas_03621101;
Curl bíceps mancuerna;Bíceps;Curl_de_bíceps_interno_inclinado_con_mancuernas_03221101;
Curl bíceps barra;Bíceps;Curl_de_bíceps_con_agarre_ancho_de_pie_con_barra_EZ_27411101;
Curl bíceps cable;Bíceps;Curl_de_bíceps_16071101;
Curl bíceps concentrado;Bíceps;Curl_de_concentración_con_mancuernas_02971101;
Curl bíceps predicador;Bíceps;Curl_predicador_de_palanca_26601101;
Curl bíceps spider;Bíceps;Curl_de_araña_con_barra_EZ_16281101;
Remo mancuernas;Espalda;Remo_inclinado_con_mancuernas_03271101;
Jalón al pecho;Espalda;Jalón_trasero_con_agarre_ancho_detrás_del_cuello_13251101;
Prensa de piernas;Cuádriceps;Press_de_piernas_con_trineo_de_45°_de_ancho_07401101;
Extensión piernas;Cuádriceps;Extensión_de_pierna_de_palanca_05851101;
Curl femoral acostado;Femoral;Curl_de_piernas_acostado_con_palanca_22231101;
Abducción máquina;Abductores;Abducción_de_cadera_sentado_con_palanca_05971101;
Aducción máquina;Aductores;Aducción_de_cadera_sentado_con_palanca_25521101;
Elevación de gemelos de pie;Gemelos;Elevación_de_pantorrilla_de_pie_con_palanca_06051101;
Elevaciones laterales;Hombros;Elevación_lateral_poliquin_con_mancuernas_38791101;
Dominadas lastre;Espalda;Dominadas_asistidas_25291101;
